date,Open,High,Low,Final,Volume,Close
2013-04-23,2999,3118,2999,3071,105827,3118
2013-04-24,3193,3193,3193,3193,202527,3193
2013-04-27,3320,3320,3320,3307,120241,3320
2013-04-28,3439,3439,3439,3439,180303,3439
2013-04-29,3576,3576,3576,3576,193220,3576
2013-04-30,3719,3719,3719,3719,224193,3719
2013-05-01,3867,3867,3867,3825,95856,3867
2013-05-04,3978,3978,3978,3833,6974,3978
2013-05-05,3986,3986,3986,3885,45545,3986
2013-05-06,4040,4040,4040,3895,8425,4040
2013-05-07,4050,4050,3900,4015,276691,3960
2013-05-08,3950,3957,3855,3966,58334,3855
2013-05-11,3808,3808,3808,3962,3801,3808
2013-05-12,3804,3804,3804,3960,1975,3804
2013-05-13,3802,3802,3802,3960,1,3802
2013-05-14,3802,3802,3802,3938,18319,3802
2013-05-15,3781,3781,3781,3938,150,3781
2013-05-18,3781,3781,3781,3937,1111,3781
2013-05-19,3780,3780,3780,3904,28000,3780
2013-05-20,3748,3748,3748,3902,1435,3748
2013-05-21,3746,3746,3746,3823,68202,3746
2013-05-22,3671,3671,3671,3820,2757,3671
2013-05-25,3850,3972,3850,3929,354982,3972
2013-05-26,4086,4086,4086,4086,187641,4086
2013-05-27,4249,4249,4249,4244,130540,4249
2013-05-28,4413,4413,4200,4369,623728,4400
2013-05-29,4412,4420,4200,4299,224244,4230
2013-06-01,4385,4385,4128,4260,62580,4128
2013-06-02,4090,4362,4090,4193,264888,4090
2013-06-03,4045,4190,4026,4036,236734,4026
2013-06-08,4000,4100,4000,4041,122315,4040
2013-06-09,4100,4202,4050,4160,215903,4190
2013-06-10,4120,4161,4120,4159,36188,4140
2013-06-11,4041,4150,4041,4132,70089,4150
2013-06-12,4222,4222,4051,4109,78280,4060
2013-06-15,3968,4273,3968,4263,382598,4273
2013-06-16,4285,4380,4285,4266,9224,4286
2013-06-17,4266,4266,4200,4253,139522,4202
2013-06-18,4249,4249,4083,4243,10065,4160
2013-06-19,4159,4240,4074,4152,78473,4092
2013-06-22,4010,4171,4001,4131,79407,4110
2013-06-23,4150,4296,4150,4254,732315,4296
2013-06-25,4318,4424,4318,4392,119425,4424
2013-06-26,4567,4567,4450,4534,111587,4567
2013-06-29,4714,4715,4714,4627,68876,4715
2013-06-30,4812,4812,4812,4673,33749,4812
2013-07-01,4859,4859,4859,4686,9279,4859
2013-07-07,4873,4873,4873,4767,58064,4873
2013-07-08,4957,4957,4957,4782,10630,4957
2013-07-09,4973,4973,4973,4802,14155,4973
2013-07-10,4994,4994,4850,4986,223365,4994
2013-07-13,5185,5185,5185,5150,111091,5185
2013-07-14,5356,5356,4946,5154,717640,5356
2013-07-15,5350,5360,5350,5360,420046,5360
2013-07-16,5574,5574,5520,5527,105770,5574
2013-07-17,5748,5748,5748,5527,10,5748
2013-07-20,5748,5748,5748,5554,16158,5748
2013-07-21,5776,5776,5776,5566,7465,5776
2013-07-22,5788,5788,5788,5569,2042,5788
2013-07-28,5791,5791,5748,5707,84246,5791
2013-07-29,5918,5935,5918,5935,283809,5935
2013-07-31,6170,6172,6169,6171,142050,6172
2013-08-03,6417,6417,6417,6417,227870,6417
2013-08-04,6673,6673,6673,6610,101585,6673
2013-08-05,6874,6874,6874,6683,37144,6874
2013-08-06,6950,6950,6950,6793,55359,6950
2013-08-07,7064,7064,7064,6802,4540,7064
2013-08-11,7074,7074,7064,7074,156699,7074
2013-08-12,7356,7356,7356,7279,97594,7356
2013-08-13,7570,7570,7550,7492,99085,7570
2013-08-14,7791,7791,7643,7787,227191,7791
2013-08-17,8098,8098,8098,7945,68319,8098
2013-08-18,8261,8262,7628,8093,379632,7628
2013-08-19,7770,7770,7770,8071,9160,7770
2013-08-21,7749,7749,7749,8057,5690,7749
2013-08-24,7735,7735,7735,7811,102780,7735
2013-08-26,7499,7499,7499,7579,99872,7499
2013-08-27,7276,7276,7276,7537,18438,7276
2013-08-31,7236,7236,7236,7390,65465,7236
2013-09-01,7095,7095,7095,7368,10095,7095
2013-09-03,7074,7074,7074,7095,124654,7074
2013-09-04,6812,6812,6812,6813,134020,6812
2013-09-07,6541,6541,6541,6713,49500,6541
2013-09-08,6445,6445,6445,6445,134392,6445
2013-09-09,6188,6188,6188,6188,134709,6188
2013-09-10,5941,5941,5941,5941,134857,5941
2013-09-11,5706,6178,5706,5895,874517,6178
2013-09-14,6130,6130,6130,6127,132474,6130
